# 闭环尝试记账（多重比较修正用）
# ts | 实验 | 参数 | 样本外BSS | 结论
2026-09-14T15:00 | 价格带权重拟合 | top/draw bands, shrink=10 | +0.28% CI[-1.31,+2.05] | 未过统计闸
2026-09-14T15:10 | 缩放扫描 | scale 0.5/1.0/1.5/2.0 | 最优+0.28% | 未过统计闸
2026-09-14T16:00 | H2 被排面残差 | 291条决策/18期,4档分层 | 全体R=-2.3pp CI[-6.4,+2.3] | 与零无法区分
2026-09-14T16:05 | H2 Bonferroni校正 | α=0.0125,4档 | 无一档显著 | 「被排面链」证伪
2026-09-14T11:53 | turn | top:T45-60+2.00pp | +0.22% CI[-1.78,+2.47] | 未过闸
2026-09-14T11:54 | turn | top:T70+-3.00pp | +0.20% CI[-1.36,+1.87] | 未过闸
2026-09-14T17:00 | W1.5 晚盘vs早盘 | 264场/19期双快照 | BSS -0.07% CI[-0.42,+0.28] | 无法区分
2026-09-14T17:05 | W1.5 位移增量 | k∈[-2,+2],基线=晚盘 | 最优k=-1.5 +0.08% CI[-0.44,+0.61] | 不显著;诊断=位移中位仅0.5pp
2026-09-14T12:50 | turn | draw:D25-30-4.00pp | -0.26% CI[-2.41,+2.10] | 未过闸
2026-09-14T18:00 | 闸功效诊断 | 绝对统计闸@n=154 | MDE80=2.93% vs 点估计0.28% | 欠功效10倍,闸不可达
2026-09-14T18:10 | 闸v2改版 | 硬闸(泄漏/人类)+方向分/信息量分离 | contrarian信息量56%(唯一有信息的) | 无策略部署
2026-09-14T19:00 | note解析器交叉验证 | vs 13期judgment.json,28场对照 | 方向旗准确96%(精确100/召回95),完整度100% | 通过
2026-09-14T19:10 | 假设批次1(8条) | n=19..306 | 5条证伪/2条欠功效/1条样本不足 | C6/旗方向/旗非模态全证伪
2026-09-14T20:00 | 因子搜索 | 训练窗177组合×3目标,min_n=25 | 最大|z|=3.34 vs 零假设期望2.77 | 两个候选
2026-09-14T20:20 | F1+F2 联合 | EB收缩τ=5pp | 样本外BSS-0.22% 配对60:14 p<1e-4 | 方向对幅度过拟合
2026-09-14T20:30 | F2 单独诊断 | 平<25→第3面 | 训练-10.2pp → 样本外-1.8pp | ⛔剔除(幅度衰减5倍,亏损53%来自它)
2026-09-14T20:40 | ⭐F1 单因子 | conf>=4→top1 +5.00pp | 样本外BSS+0.24% 配对21:4 p=0.0009 | ⭐首个样本外验证通过的因子
2026-09-14T21:00 | conf操作化 | OP1-OP5 五个定义 | OP1(top1>=60) +8.3pp吃掉大部分;OP2子集内人判增量仅1.7pp | conf≈价格代理
2026-09-14T21:10 | ⭐F3 top1>=60 | 训练+8.0pp/测试+8.5pp,对照<60近零 | 样本外配对31:7 p=0.0001 胜率81.6% | 两窗已看→预注册26125前瞻
2026-09-14T22:00 | 本体因子扩展搜索 | 684组合(价格+标注+本体)×3目标 | 0个通过train→test | 全部是"第3面被高估"的重切
2026-09-14T22:10 | 共线性诊断 | corr(λ差,top1) | +0.982 | ⭐本体≈价格重述,结构上不可能有edge
2026-09-14T22:20 | 外生特征:赛程密度 | corr(休息天数,top1)=-0.164 | 各分层CI均含0(唯一"显著"的持平组无机制) | 真外生但代理太粗
2026-09-14T23:00 | 赛程索引 | 118天竞彩盘→513队/2216条(队,日期) | 足彩接入98%,392场可算休息天数 | 基础设施建成
